"ReadCode"	"ConceptId"	"term"	"DescriptionId"
"43Z4"	"997091000000101"	"Neutrophil function test"	"2576771000000119"
"43Z5"	"997101000000109"	"Estimation of lymphocyte proliferative ability"	"2569151000000114"
"43Z6"	"1026751000000108"	"Antibody studies"	"2599881000000110"
"43Z8"	"997111000000106"	"Paraprotein profile"	"2576781000000117"
"43ZA"	"1029111000000103"	"Paraprotein typing by immunofixation"	"2602771000000116"
"43ZB"	"1030021000000101"	"Free PSA (prostate specific antigen) level"	"2595101000000113"
"43ZB0"	"1000481000000100"	"Serum free PSA (prostate specific antigen) level"	"2607601000000119"
"43ZB0"	"909341000000103"	"Serum free prostate specific antigen level"	"2337441000000117"
"43ZC"	"1030031000000104"	"Free:total PSA (prostate specific antigen) ratio"	"2595111000000110"
"43ZC0"	"1000491000000103"	"Serum free:total PSA (prostate specific antigen) ratio"	"2607611000000117"
"43ZC0"	"909361000000102"	"Serum free:total prostate specific antigen ratio"	"2337491000000110"
"43ZD"	"1013471000000109"	"Cell marker analysis"	"2562371000000112"
"43ZD0"	"1000321000000109"	"HLA-DR+ percentage of lymphocytes/blast cells"	"2572961000000112"
"43ZD0"	"887911000000101"	"HLA-DR+ percentage of lymphocytes/blast cells"	"2287441000000118"
"43ZE"	"1005451000000104"	"T cell diagnostic panel test"	"2585081000000115"
"43ZF"	"1006591000000104"	"Total PSA (prostate specific antigen) level"	"2607751000000110"
"43ZF"	"377981000000102"	"Total prostate specific antigen level"	"744201000000114"
"44"	"1030591000000106"	"Blood chemistry"	"2598581000000119"
"4426"	"1010511000000108"	"Serum T4 level"	"2582381000000112"
"4429"	"1016821000000102"	"Thyroxine binding globulin level"	"2579241000000110"
"44290"	"1013851000000103"	"Serum thyroxine binding globulin concentration"	"2552371000000119"
"44290"	"963661000000105"	"Serum thyroxine binding globulin concentration"	"2455341000000110"
"442a"	"1022821000000106"	"Plasma total T4 level"	"2580991000000112"
"442B"	"1016831000000100"	"Thyroid release hormone level"	"2583331000000116"
"442d"	"1012951000000101"	"Serum thyroglobulin level"	"2565251000000118"
"442e"	"999201000000109"	"Blood spot TSH (thyroid stimulating hormone) level"	"2577081000000118"
"442F"	"1016841000000109"	"T3 suppression test"	"2562791000000112"
"442h"	"1017931000000106"	"Thyrotropin releasing hormone stimulation test"	"2565951000000110"
"442J"	"1016851000000107"	"Thyroid function test"	"2580271000000116"
"442K"	"1016861000000105"	"30 minute plasma thyroid stimulating hormone level"	"2583341000000113"
"442L"	"1016871000000103"	"60 minute plasma thyroid stimulating hormone level"	"2552881000000113"
"442M"	"1016881000000101"	"90 minute plasma thyroid stimulating hormone level"	"2580281000000119"
"442N"	"1016891000000104"	"120 minute plasma thyroid stimulating hormone level"	"2552891000000110"
"442O"	"1016901000000103"	"150 minute plasma thyroid stimulating hormone level"	"2562801000000111"
"442P"	"1016911000000101"	"30 minute serum thyroid stimulating hormone level"	"2562811000000113"
"442Q"	"1016921000000107"	"60 minute serum thyroid stimulating hormone level"	"2574961000000119"
"442R"	"1016931000000109"	"90 minute serum thyroid stimulating hormone level"	"2579251000000113"
"442S"	"1016941000000100"	"120 minute serum thyroid stimulating hormone level"	"2552901000000111"
"442T"	"1016951000000102"	"150 minute serum thyroid stimulating hormone level"	"2583351000000111"
"443"	"997121000000100"	"Gonadotrophin levels"	"2563371000000116"
"4433"	"1030811000000104"	"Luteinising hormone level"	"2598631000000117"
"44332"	"1022121000000103"	"20 minute luteinising hormone level"	"2580901000000117"
"44332"	"754891000000101"	"20 minute luteinising hormone level"	"1660801000000117"
"4434"	"1027161000000108"	"FSH (follicle stimulating hormone) level"	"2596511000000113"
"44342"	"1022111000000109"	"20 minute follicle stimulating hormone level"	"2558631000000111"
"44342"	"754871000000100"	"20 minute follicle stimulating hormone level"	"1660751000000112"
"4435"	"1027171000000101"	"Prolactin level"	"2598661000000110"
"4438"	"1022851000000101"	"Ascheim-Zondek test"	"2566751000000117"
"4439"	"1022861000000103"	"30 minute plasma prolactin level"	"2567351000000118"
"443A"	"1022871000000105"	"60 minute plasma prolactin level"	"2575771000000112"
"443a"	"1023121000000107"	"60 minute serum luteinising hormone level"	"2567401000000112"
"443B"	"1022881000000107"	"90 minute plasma prolactin level"	"2558741000000110"
"443b"	"1023131000000109"	"90 minute serum luteinising hormone level"	"2570161000000110"
"443C"	"1022891000000109"	"120 minute plasma prolactin level"	"2558751000000113"
"443c"	"1023141000000100"	"120 minute serum luteinising hormone level"	"2570171000000115"
"443D"	"1022901000000105"	"150 minute plasma prolactin level"	"2567361000000115"
"443d"	"1023151000000102"	"150 minute serum luteinising hormone level"	"2553521000000119"
"443E"	"1022911000000107"	"30 minute serum prolactin level"	"2566761000000119"
"443e"	"1023161000000104"	"Serum luteinising hormone level"	"2558801000000118"
"443F"	"1022921000000101"	"60 minute serum prolactin level"	"2567371000000110"
"443f"	"1023171000000106"	"Plasma LH (luteinising hormone) level"	"2558811000000116"
"443G"	"1022931000000104"	"90 minute serum prolactin level"	"2558761000000111"
"443g"	"1023181000000108"	"Plasma prolactin level"	"2567411000000114"
"443H"	"1022941000000108"	"120 minute serum prolactin level"	"2566771000000114"
"443h"	"1023191000000105"	"Serum FSH (follicle stimulating hormone) level"	"2607211000000119"
"443I"	"1022951000000106"	"150 minute serum prolactin level"	"2581001000000111"
"443i"	"1023201000000107"	"Plasma FSH (follicle stimulating hormone) level"	"2553531000000117"
"443J"	"1022961000000109"	"30 minute plasma follicle stimulating hormone level"	"2567381000000112"
"443j"	"1023211000000109"	"Serum prolactin level"	"2570181000000118"
"443j0"	"895821000000106"	"Serum prolactin polyethylene glycol recovery level"	"2305081000000118"
"443j0"	"998561000000104"	"Serum prolactin polyethylene glycol recovery level"	"2563561000000116"
"443k"	"1002861000000107"	"Serum macroprolactin level"	"2556121000000115"
"443K"	"1022971000000102"	"60 minute plasma follicle stimulating hormone level"	"2558771000000116"
"443l"	"1013581000000107"	"Serum monomeric prolactin level"	"2565351000000114"
"443L"	"1022981000000100"	"90 minute plasma follicle stimulating hormone level"	"2581011000000113"
"443M"	"1022991000000103"	"120 minute plasma follicle stimulating hormone level"	"2575781000000114"
"443m"	"994301000000104"	"Serum inhibin level"	"2559421000000117"
"443n"	"1012121000000109"	"Monomeric prolactin level"	"2562151000000117"
"443N"	"1023001000000104"	"150 minute plasma follicle stimulating hormone level"	"2558781000000119"
"443o"	"1017941000000102"	"Serum prolactin isoforms level"	"2575121000000114"
"443O"	"1023011000000102"	"30 minute plasma luteinising hormone level"	"2558791000000117"
"443p"	"1002861000000107"	"Serum macroprolactin level"	"2556121000000115"
"443P"	"1023021000000108"	"60 minute plasma luteinising hormone level"	"2570151000000112"
"443p"	"194871000000100"	"Macroprolactin measurement"	"291671000000117"
"443p"	"194871000000100"	"Macroprolactin measurement (procedure)"	"291681000000115"
"443Q"	"1023031000000105"	"90 minute plasma luteinising hormone level"	"2567391000000114"
"443q"	"244921000000103"	"Inhibin A level"	"399601000000117"
"443q"	"996321000000104"	"Inhibin A level"	"2555251000000113"
"443q0"	"1010841000000107"	"Plasma inhibin A level"	"2557061000000113"
"443q0"	"940731000000108"	"Plasma inhibin A level"	"2407781000000118"
"443R"	"1023041000000101"	"120 minute plasma luteinising hormone level"	"2583981000000118"
"443r"	"244931000000101"	"Inhibin B level"	"399621000000114"
"443r"	"996331000000102"	"Inhibin B level"	"2568151000000119"
"443r0"	"1010831000000103"	"Plasma inhibin B level"	"2574311000000117"
"443r0"	"940751000000101"	"Plasma inhibin B level"	"2407831000000111"
"443S"	"1023051000000103"	"150 minute plasma luteinising hormone level"	"2566781000000111"
"443s"	"816001000000103"	"Serum inhibin A multiple of median measurement"	"2126321000000111"
"443s"	"996411000000101"	"Serum inhibin-A mean of median"	"2568191000000110"
"443T"	"1023061000000100"	"30 minute serum follicle stimulating hormone level"	"2566791000000113"
"443t"	"815991000000102"	"Plasma inhibin A multiple of median measurement"	"2126301000000119"
"443U"	"1023071000000107"	"60 minute serum follicle stimulating hormone level"	"2583991000000116"
"443V"	"1023081000000109"	"90 minute serum follicle stimulating hormone level"	"2575791000000111"
"443W"	"1023091000000106"	"120 minute serum follicle stimulating hormone level"	"2566801000000112"
"443X"	"1023101000000103"	"150 minute serum follicle stimulating hormone level"	"2581021000000119"
"443Y"	"1023111000000101"	"30 minute serum luteinising hormone level"	"2575801000000110"
"4443"	"1023221000000103"	"HPL (human placental lactogen) level"	"2566811000000114"
"4444"	"997131000000103"	"Serum oestriol level"	"2569161000000112"
"4446"	"1001831000000107"	"Serum unconjugated oestriol mean of median measurement"	"2577381000000116"
"4446"	"815971000000101"	"Serum unconjugated oestriol multiple of median measurement"	"2126231000000119"
"4447"	"815961000000108"	"Plasma unconjugated oestriol multiple of median measurement"	"2126211000000110"
"4448"	"1004441000000103"	"Unconjugated oestriol level"	"2564261000000116"
"445"	"997141000000107"	"Serum beta human chorionic gonadotrophin pregnancy test"	"2563381000000119"
"446"	"1027821000000108"	"Female sex hormones - serum level"	"2600651000000117"
"4463"	"997151000000105"	"Serum progesterone level"	"2563391000000117"
"4465"	"1010521000000102"	"Serum oestradiol level"	"2551971000000110"
"4466"	"1030821000000105"	"Serum 17a-hydroxyprogesterone level"	"2600141000000110"
"4467"	"1023231000000101"	"Plasma oestradiol level"	"2570191000000116"
"447"	"1030951000000105"	"Male sex hormones - serum level"	"2600661000000119"
"4473"	"997161000000108"	"Serum testosterone level"	"2571281000000118"
"4474"	"1023241000000105"	"Free androgen index"	"2584001000000114"
"4475"	"1023251000000108"	"Serum androstenedione level"	"2553541000000114"
"4478"	"997171000000101"	"Serum dehydroepiandrosterone level"	"2571291000000116"
"4479"	"1023261000000106"	"Plasma 5-alpha-dihydrotestosterone level"	"2584011000000111"
"447A"	"1023271000000104"	"Plasma androstenedione level"	"2584021000000117"
"447B"	"1023281000000102"	"Plasma androsterone level"	"2575811000000112"
"447C"	"994721000000109"	"Serum 5-alpha-dihydrotestosterone level"	"2568021000000113"
"447D"	"994731000000106"	"Serum androsterone level"	"2568871000000117"
"447E"	"1011671000000105"	"Dehydroepiandrosterone sulphate level"	"2582551000000112"
"447F"	"993101000000103"	"Plasma DHEA (dehydroepiandrosterone) sulphate level"	"2576221000000114"
"447G"	"995571000000101"	"Plasma testosterone level"	"2581581000000110"
"447H"	"1002871000000100"	"Androgen level"	"2584691000000111"
"447J"	"1018301000000100"	"Dehydroepiandrostenedione excretion"	"2579451000000112"
"447J"	"202351000000107"	"Dehydroepiandrostenedione excretion"	"308541000000113"
"447K"	"1027031000000102"	"Dehydroepiandrostenedione:creatinine ratio"	"2605091000000114"
"447K"	"202361000000105"	"Dehydroepiandrostenedione:creatinine ratio"	"308571000000119"
"447K0"	"1005831000000109"	"Urine dehydroepiandrostenedione:creatinine ratio"	"2551291000000119"
"447K0"	"909061000000100"	"Urine dehydroepiandrostenedione:creatinine ratio"	"2336741000000112"
"447L"	"1018311000000103"	"Dehydroepiandrostenedione concentration level"	"2558031000000116"
"447L"	"202371000000103"	"Dehydroepiandrostenedione concentration level"	"308601000000114"
"4481"	"997181000000104"	"Serum growth hormone level"	"2572591000000110"
"4482"	"997191000000102"	"Serum cortisol level"	"2559801000000111"
"4483"	"997201000000100"	"Serum ACTH (adrenocorticotrophic hormone) level"	"2563401000000119"
"4485"	"994741000000102"	"Serum antidiuretic hormone-arginine vasopressin level"	"2570911000000111"
"4486"	"1007121000000105"	"Combined pituitary function test"	"2551481000000115"
"4487"	"994751000000104"	"30 minute plasma cortisol level"	"2555021000000113"
"4488"	"994761000000101"	"60 minute plasma cortisol level"	"2572381000000119"
"4489"	"994771000000108"	"90 minute plasma cortisol level"	"2570921000000117"
"448A"	"994781000000105"	"120 minute plasma cortisol level"	"2570931000000115"
"448a"	"995031000000109"	"150 minute serum growth hormone level"	"2570981000000116"
"448B"	"994791000000107"	"150 minute plasma cortisol level"	"2568881000000115"
"448b"	"995041000000100"	"180 minute serum growth hormone level"	"2576511000000117"
"448C"	"994801000000106"	"180 minute plasma cortisol level"	"2581491000000111"
"448c"	"995051000000102"	"210 minute serum growth hormone level"	"2559511000000110"
"448D"	"994811000000108"	"210 minute plasma cortisol level"	"2570941000000112"
"448d"	"995061000000104"	"240 minute serum growth hormone level"	"2568941000000119"
"448E"	"994821000000102"	"240 minute plasma cortisol level"	"2568891000000118"
"448e"	"995071000000106"	"Serum adrenaline level"	"2555031000000110"
"448F"	"994831000000100"	"30 minute plasma growth hormone level"	"2576481000000111"
"448f"	"995081000000108"	"Plasma aetiocholanolone level"	"2568951000000116"
"448G"	"994841000000109"	"60 minute plasma growth hormone level"	"2559461000000113"
"448g"	"995091000000105"	"Plasma 17-oxosteroid level"	"2572411000000117"
"448H"	"994851000000107"	"90 minute plasma growth hormone level"	"2568031000000110"
"448h"	"995101000000102"	"Plasma 17-alpha-hydroxyprogesterone level"	"2555041000000118"
"448I"	"994861000000105"	"120 minute plasma growth level"	"2570951000000110"
"448i"	"995111000000100"	"Plasma 11-deoxycortisol level"	"2570991000000119"
"448J"	"994871000000103"	"150 minute plasma growth hormone level"	"2570961000000113"
"448j"	"995121000000106"	"Serum 17-oxosteroid level"	"2555051000000115"
"448K"	"994881000000101"	"180 minute plasma growth hormone level"	"2570971000000118"
"448k"	"995131000000108"	"Serum 11-deoxycortisol level"	"2568041000000118"
"448L"	"994891000000104"	"210 minute plasma growth hormone level"	"2559471000000118"
"448l"	"995141000000104"	"Plasma arginine vasopressin level"	"2555061000000117"
"448m"	"1026311000000105"	"Plasma growth hormone level"	"2601521000000118"
"448M"	"994901000000103"	"240 minute plasma growth hormone level"	"2559481000000116"
"448N"	"994911000000101"	"30 minute serum cortisol level"	"2581501000000117"
"448n"	"995151000000101"	"Serum 17-alphahydroxyprogesterone level"	"2559521000000116"
"448O"	"994921000000107"	"60 minute serum cortisol level"	"2568901000000117"
"448o"	"995161000000103"	"Serum aetiocholanolone level"	"2571001000000115"
"448P"	"994931000000109"	"90 minute serum cortisol level"	"2559491000000119"
"448p"	"995171000000105"	"Plasma adrenaline level"	"2576521000000111"
"448Q"	"994941000000100"	"120 minute serum cortisol level"	"2572391000000117"
"448r"	"1012971000000105"	"Plasma ACTH (adrenocorticotropic hormone) level"	"2562261000000114"
"448R"	"994951000000102"	"150 minute serum cortisol level"	"2576491000000113"
"448s"	"1011681000000107"	"Dexamethasone suppression test"	"2565111000000113"
"448S"	"994961000000104"	"180 minute serum cortisol level"	"2568911000000115"
"448t"	"1011691000000109"	"Plasma aldosterone ambulant level"	"2579581000000117"
"448T"	"994971000000106"	"210 minute serum cortisol level"	"2581511000000115"
"448u"	"1011701000000109"	"Plasma aldosterone recumbent level"	"2552131000000119"
"448U"	"994981000000108"	"240 minute serum cortisol level"	"2568921000000114"
"448v"	"1028621000000108"	"Cortisol midday level"	"2595091000000117"
"448V"	"994991000000105"	"30 minute serum growth hormone level"	"2576501000000119"
"448w"	"1028751000000107"	"9am cortisol level"	"2599251000000117"
"448W"	"995001000000103"	"60 minute serum growth hormone level"	"2559501000000113"
"448x"	"1011711000000106"	"Cortisol day curve"	"2557211000000116"
"448X"	"995011000000101"	"90 minute serum growth hormone level"	"2572401000000119"
"448Y"	"995021000000107"	"120 minute serum growth hormone level"	"2568931000000111"
"448y"	"995501000000109"	"Plasma cortisol level"	"2559601000000112"
"448z"	"994311000000102"	"Serum dopamine level"	"2572341000000110"
"449"	"1011721000000100"	"Gastrointestinal hormone level"	"2574401000000112"
"4491"	"995181000000107"	"Serum gastrin level"	"2576531000000113"
"4492"	"997261000000101"	"Serum pancreatic polypeptide level"	"2572621000000113"
"4493"	"997211000000103"	"Serum insulin level"	"2572601000000116"
"4495"	"997271000000108"	"Serum neurotensin level"	"2563411000000117"
"4496"	"997281000000105"	"VIP (vasoactive intestinal polypeptide) level"	"2569181000000115"
"44960"	"1010821000000100"	"Plasma vasoactive intestinal polypeptide level"	"2574301000000119"
"44960"	"940771000000105"	"Plasma vasoactive intestinal polypeptide level"	"2407881000000110"
"4497"	"997291000000107"	"Serum somatostatin level"	"2559821000000119"
"4498"	"1012981000000107"	"Plasma gastrin level"	"2565261000000115"
"4499"	"997291000000107"	"Serum somatostatin level"	"2559821000000119"
"449B"	"1012991000000109"	"Plasma somatostatin level"	"2578841000000117"
"449C"	"1011721000000100"	"Gastrointestinal hormone level"	"2574401000000112"
"449D"	"995451000000106"	"Plasma insulin level"	"2576581000000112"
"449F"	"1002881000000103"	"Plasma pancreatic polypeptide"	"2573291000000115"
"449G"	"1005511000000104"	"Serum pro-insulin level"	"2556411000000119"
"449H"	"1010091000000107"	"Serum 32-33 split pro-insulin level"	"2551921000000111"
"449J"	"1017951000000104"	"Gastrointestinal hormone study"	"2579391000000113"
"44a02"	"908961000000105"	"Serum CEA (carcinoembryonic antigen) level"	"2336481000000110"
"44A2"	"1022171000000104"	"Serum calcitonin level"	"2575681000000118"
"44a2"	"1026931000000103"	"CA 15-3 (cancer antigen 15-3) level"	"2616061000000111"
"44a20"	"1000441000000108"	"Serum CA 15-3 (cancer antigen 15-3) level"	"2607181000000115"
"44a20"	"909281000000102"	"Serum CA 15-3 (cancer antigen 15-3) level"	"2337291000000114"
"44A3"	"1027181000000104"	"Serum renin activity"	"2598691000000116"
"44a3"	"1030691000000107"	"CA 19-9 (cancer antigen 19-9) level"	"2602121000000119"
"44a30"	"1000451000000106"	"Serum CA 19-9 (cancer antigen 19-9) level"	"2607191000000118"
"44a30"	"909301000000101"	"Serum CA 19-9 (cancer antigen 19-9) level"	"2337341000000111"
"44a4"	"1014611000000103"	"Squamous cell carcinoma antigen level"	"2557591000000110"
"44a5"	"1002891000000101"	"Plasma chromogranin A level"	"2577521000000114"
"44A5"	"997231000000106"	"Serum erythropoietin level"	"2569171000000117"
"44A6"	"997301000000106"	"Plasma gastric inhibitory peptide level"	"2559831000000117"
"44a60"	"909121000000107"	"Serum CA 125 (cancer antigen 125) level"	"2336891000000110"
"44A7"	"997311000000108"	"Plasma IGF 1 (insulin-like growth factor 1) level"	"2576811000000119"
"44A8"	"997321000000102"	"Plasma IGF 2 (insulin-like growth factor 2) level"	"2581791000000118"
"44A9"	"997331000000100"	"Plasma glucagon level"	"2576821000000113"
"44Aa"	"1002331000000107"	"Plasma homovanillic acid concentration"	"2560481000000115"
"44Aa"	"914111000000100"	"Plasma homovanillic acid concentration"	"2352641000000118"
"44AA"	"997341000000109"	"Plasma noradrenaline level"	"2569191000000118"
"44Ab"	"1010991000000108"	"Serum procalcitonin level"	"2552011000000114"
"44Ab"	"984131000000106"	"Serum procalcitonin level"	"2502701000000116"
"44AC"	"997361000000105"	"Serum insulin-like growth factor 2 level"	"2555361000000119"
"44AD"	"997371000000103"	"Serum glucagon level"	"2571301000000117"
"44AE"	"997381000000101"	"Serum noradrenaline level"	"2563421000000111"
"44AG"	"1013001000000108"	"Plasma calcitonin level"	"2582731000000114"
"44AI"	"1011731000000103"	"Plasma renin ambulant level"	"2557221000000110"
"44AI0"	"1005821000000107"	"Plasma renin activity ambulant"	"2564431000000110"
"44AI0"	"911521000000103"	"Plasma renin activity ambulant"	"2342901000000111"
"44AK"	"1011741000000107"	"Plasma renin recumbent level"	"2578651000000118"
"44AK0"	"1002631000000103"	"Plasma renin activity recumbent"	"2577491000000111"
"44AK0"	"911561000000106"	"Plasma renin activity recumbent"	"2343001000000117"
"44AL"	"1011751000000105"	"Renin and aldosterone"	"2578661000000115"
"44AM"	"995541000000107"	"Plasma parathyroid hormone related peptide level"	"2568991000000112"
"44AN"	"1028291000000108"	"Plasma pro-brain natriuretic peptide level"	"2603881000000119"
"44AP"	"1026401000000103"	"Serum pro-BNP peptide level"	"2603911000000119"
"44AQ"	"1010101000000104"	"Plasma 18-hydroxycortisol level"	"2574201000000113"
"44AR"	"1016291000000103"	"Plasma B natriuretic peptide level"	"2562741000000119"
"44AT"	"888351000000102"	"Plasma renin activity"	"2288391000000115"
"44AT"	"999861000000109"	"Plasma renin activity"	"2571561000000113"
"44AV"	"909691000000102"	"Serum N-terminal pro B-type natriuretic peptide concentration"	"2338701000000113"
"44AW"	"909711000000100"	"Plasma N-terminal pro B-type natriuretic peptide concentration"	"2338691000000113"
"44AX"	"909731000000108"	"Serum B-type natriuretic peptide concentration"	"2338751000000114"
"44AX"	"998441000000104"	"Serum B-type natriuretic peptide concentration"	"2559981000000113"
"44AY"	"1000401000000105"	"Plasma N-terminal glucagon level"	"2577231000000114"
"44AY"	"911241000000107"	"Plasma N-terminal glucagon level"	"2346001000000111"
"44b"	"1015811000000103"	"Faecal fat screening test"	"2557731000000117"
"44B"	"997241000000102"	"Serum alpha foetoprotein level"	"2581781000000115"
"44B7"	"997401000000101"	"Serum alpha foetoprotein mean of median"	"2572631000000110"
"44B8"	"1028141000000108"	"MS alpha-fetoprotein level"	"2604371000000111"
"44c"	"1007251000000106"	"Serum lipoprotein level"	"2561621000000112"
"44c0"	"1030571000000107"	"Serum random lipoprotein level"	"2600461000000117"
"44c1"	"1026721000000103"	"Serum fasting lipoprotein level"	"2600491000000111"
"44C1"	"1027401000000101"	"Serum pseudocholinesterase level"	"2600671000000114"
"44c2"	"1007261000000109"	"Serum apolipoprotein A-I level"	"2561631000000114"
"44C2"	"997411000000104"	"Serum glutamate dehydrogenase level"	"2581801000000119"
"44c3"	"1007271000000102"	"Serum apolipoprotein A-II level"	"2573721000000114"
"44C4"	"1027191000000102"	"Serum amylase (pancreatic)"	"2602221000000111"
"44c5"	"1017371000000109"	"Serum apolipoprotein E level"	"2579301000000118"
"44C5"	"997251000000104"	"Serum caeruloplasmin level"	"2559811000000113"
"44C6"	"999601000000106"	"Serum A1 antitrypsin level"	"2563691000000111"
"44C7"	"999611000000108"	"Serum P1 phenotype level"	"2569461000000118"
"44C8"	"999621000000102"	"Serum A1 acid glycoprotein level"	"2572881000000110"
"44C9"	"997431000000107"	"Serum acid phosphatase level"	"2555371000000114"
"44Ca"	"1013081000000103"	"Blood immunoreactive trypsin level"	"2557361000000111"
"44CA"	"999631000000100"	"Serum haptoglobin level"	"2584181000000117"
"44Cb"	"1013091000000101"	"Plasma neurotensin level"	"2562281000000117"
"44Cc"	"1013101000000109"	"Blood erythrocyte porphobilinogen deaminase level"	"2557371000000116"
"44CD"	"999661000000105"	"Serum sex hormone binding globulin level"	"2563701000000111"
"44Cd0"	"992171000000104"	"Whole blood thiopurine methyltransferase level"	"2567031000000111"
"44Cd1"	"874361000000102"	"Red cell thiopurine methyltransferase level"	"2258141000000117"
"44Cd1"	"998311000000109"	"Red blood cell thiopurine methyltransferase level"	"2576911000000114"
"44Ce"	"1013111000000106"	"Serum tissue transglutaminase level"	"2557381000000119"
"44CE"	"1027411000000104"	"Serum haptoglobin screening"	"2601021000000113"
"44Cf"	"1013121000000100"	"Serum dihydropyrimide dehydrogenase level"	"2574521000000119"
"44CF"	"999671000000103"	"Serum beta 2 microglobulin level"	"2555681000000116"
"44Cg"	"1013131000000103"	"Beta 2 glycoprotein 1 level"	"2574531000000117"
"44CG"	"997441000000103"	"Plasma beta 2 microglobulin level"	"2572641000000118"
"44Ch"	"1013141000000107"	"Plasma thyroglobulin level"	"2578861000000116"
"44CH"	"999681000000101"	"Serum angiotensin converting enzyme level"	"2560201000000114"
"44Ci"	"1028801000000100"	"RBC (red blood cell) cholinesterase level"	"2603661000000112"
"44CI"	"997451000000100"	"Duodenal fluid chymotrypsin level"	"2569211000000119"
"44Ci0"	"1000531000000103"	"Red blood cell acetylcholinesterase level"	"2571701000000118"
"44Cj"	"1011791000000102"	"Cholinesterase genotype"	"2582561000000110"
"44CJ"	"997461000000102"	"Duodenal fluid trypsin level"	"2571311000000115"
"44Ck"	"1027711000000107"	"Insulin-like growth factor binding protein 3 level"	"2595741000000112"
"44CK"	"997471000000109"	"Faecal trypsin level"	"2581811000000117"
"44CL"	"1027421000000105"	"Leucocyte alkaline phosphatase level"	"2601821000000116"
"44Cm"	"1005521000000105"	"Serum tryptase level"	"2585751000000111"
"44Cn"	"1013501000000102"	"Serum biotinidase level"	"2562391000000111"
"44Co"	"1010111000000102"	"Serum alpha-1-antichymotrypsin level"	"2564861000000115"
"44CO0"	"1000521000000100"	"Serum acetylcholinesterase level"	"2560851000000111"
"44CO0"	"909561000000109"	"Serum acetylcholinesterase level"	"2338411000000119"
"44CO1"	"1000541000000107"	"Serum butyrylcholinesterase level"	"2571711000000116"
"44CO1"	"909581000000100"	"Serum butyrylcholinesterase level"	"2338391000000119"
"44Cp"	"994321000000108"	"Carbohydrate deficient transferrin"	"2554941000000118"
"44CP"	"997501000000102"	"Serum immunoreactive trypsin level"	"2563431000000113"
"44Cq"	"1017961000000101"	"Serum neuron-specific enolase level"	"2579401000000111"
"44CQ"	"1027441000000103"	"Tartrate labile serum acid phosphatase level"	"2602021000000118"
"44Cr"	"1017971000000108"	"Plasma B-mannosidase level"	"2557981000000115"
"44CR"	"1027451000000100"	"Tartrate resistant serum acid phosphatase level"	"2602001000000110"
"44Cs"	"1012141000000102"	"Plasma B-hexosaminidase level"	"2574451000000113"
"44CT"	"1013031000000102"	"Plasma amylase level"	"2582741000000117"
"44Cu"	"1017981000000105"	"Ro-02-0683 number"	"2552971000000115"
"44Cu"	"113021000000106"	"Ro-02-0683 number"	"189741000000118"
"44CV"	"1013051000000109"	"Serum alkaline phosphatase placental enzyme level"	"2574511000000113"
"44Cv"	"1017991000000107"	"Serum propranolol number"	"2580461000000110"
"44CW"	"1031121000000106"	"Roche number"	"2604211000000111"
"44Cw"	"994331000000105"	"Plasma chromogranin B level"	"2570801000000118"
"44CW0"	"1005801000000103"	"Serum Roche number"	"2556441000000118"
"44CW0"	"908561000000102"	"Serum Roche number"	"2350341000000111"
"44CX"	"1013061000000107"	"Blood deoxypyridinoline level"	"2582751000000119"
"44Cx"	"1020331000000104"	"Propanol number"	"2553271000000117"
"44CY"	"1013071000000100"	"Blood biotinidase level"	"2565271000000110"
"44Cy"	"816061000000104"	"Serum pregnancy associated plasma protein A multiple of median measurement"	"2126461000000111"
"44Cz"	"816051000000102"	"Plasma pregnancy associated plasma protein A multiple of median measurement"	"2126431000000118"
"44CZ0"	"849161000000104"	"Thiopurine methyltransferase activity measurement"	"2200761000000110"
"44CZ1"	"1007911000000101"	"Serum aldolase activity"	"2573861000000110"
"44CZ1"	"932651000000105"	"Serum aldolase activity"	"2389781000000116"
"44CZ2"	"1011421000000109"	"Blood spot immunoreactive trypsin level"	"2552121000000116"
"44CZ2"	"940571000000102"	"Blood spot immunoreactive trypsin level"	"2407381000000119"
"44d"	"1007291000000103"	"Plasma lipoprotein level"	"2551511000000114"
"44D"	"1031081000000108"	"Liver function tests"	"2602081000000117"
"44d0"	"1026731000000101"	"Plasma random lipoprotein level"	"2600381000000116"
"44d1"	"1028821000000109"	"Plasma fasting lipoprotein level"	"2600401000000116"
"44d2"	"1028831000000106"	"Plasma random HDL (high density lipoprotein) cholesterol level"	"2600041000000114"
"44d3"	"1028841000000102"	"Plasma fasting HDL (high density lipoprotein) cholesterol level"	"2600031000000117"
"44D3"	"997511000000100"	"Blood ammonia level"	"2555391000000113"
"44d4"	"1028851000000104"	"Plasma random LDL (low density lipoprotein) cholesterol level"	"2600051000000112"
"44D4"	"997521000000106"	"Serum pyruvate level"	"2572651000000115"
"44D5"	"1028071000000101"	"Serum lactate level"	"2600571000000113"
"44d5"	"1028861000000101"	"Plasma fasting LDL (low density lipoprotein) cholesterol level"	"2600061000000110"
"44d6"	"1010541000000109"	"Plasma apolipoprotein A-I level"	"2582391000000114"
"44D6"	"997531000000108"	"Liver function test"	"2572661000000117"
"44d7"	"1010551000000107"	"Plasma apolipoprotein A-II level"	"2557041000000112"
"44D7"	"997541000000104"	"Serum bile salt level"	"2559851000000112"
